"probe" "entrez.id"
"698" "200906_s_at" "23022"
"699" "200907_s_at" "23022"
"700" "200911_s_at" "6867"
"701" "200935_at" "811"
"702" "200951_s_at" "894"
"703" "200952_s_at" "894"
"704" "200953_s_at" "894"
"705" "200962_at" "6160"
"706" "200965_s_at" "3983"
"707" "200974_at" "59"
"708" "200986_at" "710"
"709" "200998_s_at" "10970"
"710" "201008_s_at" "10628"
"711" "201009_s_at" "10628"
"712" "201010_s_at" "10628"
"713" "201012_at" "301"
"714" "201028_s_at" "4267"
"715" "201029_s_at" "4267"
"716" "201037_at" "5214"
"717" "201039_s_at" "5886"
"718" "201041_s_at" "1843"
"719" "201042_at" "7052"
"720" "201043_s_at" "8125"
"721" "201044_x_at" "1843"
"722" "201050_at" "23646"
"723" "201058_s_at" "10398"
"724" "201060_x_at" "2040"
"725" "201061_s_at" "2040"
"726" "201064_s_at" "8761"
"727" "201066_at" "1537"
"728" "201069_at" "4313"
"729" "201088_at" "3838"
"730" "201105_at" "3956"
"731" "201108_s_at" "7057"
"732" "201109_s_at" "7057"
"733" "201110_s_at" "7057"
"734" "201116_s_at" "1363"
"735" "201117_s_at" "1363"
"736" "201122_x_at" "1984"
"737" "201123_s_at" "1984"
"738" "201124_at" "3693"
"739" "201125_s_at" "3693"
"740" "201130_s_at" "999"
"741" "201131_s_at" "999"
"742" "201136_at" "5355"
"743" "201137_s_at" "3115"
"744" "201141_at" "10457"
"745" "201147_s_at" "7078"
"746" "201148_s_at" "7078"
"747" "201149_s_at" "7078"
"748" "201150_s_at" "7078"
"749" "201161_s_at" "8531"
"750" "201162_at" "3490"
"751" "201169_s_at" "8553"
"752" "201170_s_at" "8553"
"753" "201185_at" "5654"
"754" "201195_s_at" "8140"
"755" "201211_s_at" "1654"
"756" "201212_at" "5641"
"757" "201215_at" "5358"
"758" "201222_s_at" "5887"
"759" "201236_s_at" "7832"
"760" "201242_s_at" "481"
"761" "201243_s_at" "481"
"762" "201250_s_at" "6513"
"763" "201261_x_at" "633"
"764" "201262_s_at" "633"
"765" "201278_at" "1601"
"766" "201279_s_at" "1601"
"767" "201280_s_at" "1601"
"768" "201286_at" "6382"
"769" "201287_s_at" "6382"
"770" "201288_at" "397"
"771" "201289_at" "3491"
"772" "201291_s_at" "7153"
"773" "201292_at" "7153"
"774" "201294_s_at" "26118"
"775" "201295_s_at" "26118"
"776" "201300_s_at" "5621"
"777" "201301_s_at" "307"
"778" "201302_at" "307"
"779" "201307_at" "55752"
"780" "201308_s_at" "55752"
"781" "201309_x_at" "9315"
"782" "201310_s_at" "9315"
"783" "201313_at" "2026"
"784" "201324_at" "2012"
"785" "201325_s_at" "2012"
"786" "201340_s_at" "8507"
"787" "201341_at" "8507"
"788" "201348_at" "2878"
"789" "201367_s_at" "678"
"790" "201369_s_at" "678"
"791" "201387_s_at" "7345"
"792" "201389_at" "3678"
"793" "201397_at" "26227"
"794" "201416_at" "6659"
"795" "201417_at" "6659"
"796" "201422_at" "10437"
"797" "201425_at" "217"
"798" "201426_s_at" "7431"
"799" "201428_at" "1364"
"800" "201430_s_at" "1809"
"801" "201431_s_at" "1809"
"802" "201438_at" "1293"
"803" "201445_at" "1266"
"804" "201464_x_at" "3725"
"805" "201465_s_at" "3725"
"806" "201466_s_at" "3725"
"807" "201467_s_at" "1728"
"808" "201468_s_at" "1728"
"809" "201473_at" "3726"
"810" "201474_s_at" "3675"
"811" "201487_at" "1075"
"812" "201490_s_at" "10105"
"813" "201496_x_at" "4629"
"814" "201497_x_at" "4629"
"815" "201502_s_at" "4792"
"816" "201505_at" "3912"
"817" "201506_at" "7045"
"818" "201508_at" "3487"
"819" "201510_at" "1999"
"820" "201522_x_at" "6638 /// 8926"
"821" "201525_at" "347"
"822" "201531_at" "7538"
"823" "201539_s_at" "2273"
"824" "201540_at" "2273"
"825" "201548_s_at" "10765"
"826" "201551_s_at" "3916"
"827" "201559_s_at" "25932"
"828" "201563_at" "6652"
"829" "201564_s_at" "6624"
"830" "201565_s_at" "3398"
"831" "201566_x_at" "3398"
"832" "201578_at" "5420"
"833" "201579_at" "2195"
"834" "201581_at" "56255"
"835" "201584_s_at" "10212"
"836" "201599_at" "4942"
"837" "201601_x_at" "8519"
"838" "201615_x_at" "800"
