probeset Group
1554526_at C2.UP
237206_at C1.Down
213436_at C1.Down
217378_x_at C2.UP
215946_x_at C2.UP
209752_at C2.UP
232984_at C1.Down
224355_s_at C1.Down
224795_x_at C2.UP
237625_s_at C2.UP
205799_s_at C2.UP
203178_at C1.Down
1555804_a_at C1.Down
223502_s_at C2.UP
211640_x_at C2.UP
225330_at C2.Down
243610_at C1.Down
215692_s_at C1.Down
203471_s_at C2.UP
211368_s_at C2.UP
212158_at C2.Down
226248_s_at C1.Down
220636_at C1.Down
234764_x_at C2.UP
224342_x_at C2.UP
228821_at C2.Down
1553734_at C1.Down
1557636_a_at C1.Down
211798_x_at C2.UP
223565_at C2.UP
226069_at C2.Down
233157_x_at C1.Down
224463_s_at C1.Down
209969_s_at C2.UP
227346_at C2.UP
204400_at C2.Down
1561280_at C1.Down
238763_at C1.Down
212587_s_at C2.UP
210029_at C2.UP
242979_at C2.Down
229976_at C1.Down
228656_at C1.Down
214677_x_at C2.UP
206666_at C2.UP
242452_at C2.Down
229169_at C1.Down
1553179_at C1.Down
205306_x_at C2.UP
205267_at C2.UP
212154_at C2.Down
227081_at C1.Down
1553970_s_at C1.Down
213975_s_at C2.UP
238439_at C2.UP
210674_s_at C2.Down
209173_at C1.Down
227198_at C1.Down
1554240_a_at C2.UP
230966_at C2.UP
212157_at C2.Down
229973_at C1.Down
231384_at C1.Down
216576_x_at C2.UP
1559883_s_at C2.UP
230493_at C2.Down
240065_at C1.Down
240303_at C1.Down
206978_at C2.UP
229629_at C2.UP
230708_at C2.Down
236666_s_at C1.Down
237328_at C1.Down
1554899_s_at C2.UP
204891_s_at C2.UP
204686_at C2.Down
214079_at C1.Down
240161_s_at C1.Down
209138_x_at C2.UP
216542_x_at C2.UP
226065_at C2.Down
231084_at C1.Down
235892_at C1.Down
207238_s_at C2.UP
211635_x_at C2.UP
227971_at C2.Down
230763_at C1.Down
242162_at C1.Down
204279_at C2.UP
206641_at C2.UP
209227_at C2.Down
214204_at C1.Down
229376_at C1.Down
216401_x_at C2.UP
203936_s_at C2.UP
214761_at C2.Down
232327_at C1.Down
206378_at C1.Down
234366_x_at C2.UP
207651_at C2.UP
225728_at C2.Down
238116_at C1.Down
204260_at C1.Down
229391_s_at C2.UP
236280_at C2.UP
226677_at C2.Down
206799_at C1.Down
229160_at C1.Down
214836_x_at C2.UP
236293_at C2.UP
213316_at C2.Down
223475_at C2.Down
220988_s_at C2.Down
218002_s_at C2.Down
206935_at C2.Down
231472_at C3.UP
228740_at C2.Down
207414_s_at C2.Down
1558411_at C2.Down
213338_at C2.Down
242094_at C3.UP
204749_at C2.Down
229084_at C2.Down
235650_at C2.Down
228656_at C2.Down
59437_at C3.UP
218980_at C2.Down
218876_at C2.Down
238852_at C2.Down
229973_at C3.UP
1553734_at C3.UP
231842_at C2.Down
244455_at C2.Down
212670_at C2.Down
213432_at C3.UP
205765_at C3.UP
226676_at C2.Down
235182_at C2.Down
214927_at C2.Down
239150_at C3.UP
219857_at C3.UP
235355_at C2.Down
210764_s_at C2.Down
1555804_a_at C2.Down
229331_at C3.UP
240288_at C3.UP
232453_at C2.Down
214811_at C2.Down
226690_at C2.Down
243802_at C3.UP
228100_at C3.UP
229178_at C2.Down
225275_at C2.Down
230418_s_at C2.Down
230193_at C3.UP
235658_at C3.UP
233090_at C2.Down
208025_s_at C2.Down
230964_at C2.Down
230601_s_at C3.UP
209173_at C3.UP
238441_at C2.Down
214204_at C2.Down
226612_at C2.Down
239916_at C3.UP
229976_at C3.UP
205150_s_at C2.Down
1558170_at C2.Down
240253_at C2.Down
1556003_a_at C3.UP
238657_at C3.UP
227812_at C2.Down
1553655_at C2.Down
204802_at C2.Down
237281_at C3.UP
216663_s_at C3.UP
235392_at C2.Down
219197_s_at C2.Down
229273_at C2.Down
231084_at C3.UP
221946_at C3.UP
222288_at C2.Down
232090_at C2.Down
206893_at C2.Down
229542_at C3.UP
232968_at C3.UP
204288_s_at C2.Down
242064_at C2.Down
236373_at C2.Down
1556711_at C3.UP
232109_at C3.UP
224763_at C2.Down
203184_at C2.Down
44783_s_at C2.Down
214811_at C3.UP
238720_at C3.UP
201939_at C2.Down
223924_at C2.Down
231172_at C2.Down
239216_at C3.UP
243900_at C3.UP
231841_s_at C2.Down
201505_at C2.Down
213240_s_at C2.Down
231172_at C3.UP
233157_x_at C3.UP
235944_at C2.Down
238205_at C2.Down
235874_at C2.Down
240275_at C3.UP
224463_s_at C3.UP
227148_at C2.Down
220168_at C2.Down
205433_at C2.Down
235650_at C3.UP
210323_at C3.UP
209598_at C2.Down
1556003_a_at C2.Down
237281_at C2.Down
240065_at C3.UP
204548_at C3.UP
237491_at C2.Down
220156_at C2.Down
228018_at C2.Down
1562371_s_at C3.UP
232381_s_at C3.UP
227997_at C2.Down
217997_at C2.Down
1568606_at C2.Down
1552326_a_at C3.UP
1568604_a_at C3.UP
204914_s_at C2.Down
229649_at C2.Down
212489_at C2.Down
226034_at C3.UP
203824_at C3.UP
229302_at C2.Down
204724_s_at C2.Down
225016_at C2.Down
238116_at C3.UP
222274_at C3.UP
204557_s_at C2.Down
223838_at C2.Down
220636_at C2.Down
204014_at C3.UP
206197_at C3.UP
227209_at C2.Down
209869_at C2.Down
226034_at C2.Down
229816_at C3.UP
64900_at C3.UP
219764_at C2.Down
206227_at C2.Down
212488_at C2.Down
236373_at C3.UP
227708_at C3.UP
228915_at C2.Down
243802_at C2.Down
230093_at C2.Down
230093_at C3.UP
206859_s_at C3.UP
202363_at C2.Down
225842_at C2.Down
213707_s_at C2.Down
237282_s_at C3.UP
231077_at C3.UP
204913_s_at C2.Down
240161_s_at C2.Down
225516_at C2.Down
238018_at C3.UP
236745_at C3.UP
224463_s_at C2.Down
237168_at C2.Down
228598_at C2.Down
237168_at C3.UP
243610_at C3.UP
219463_at C2.Down
229973_at C2.Down
204320_at C2.Down
232984_at C3.UP
210683_at C3.UP
206002_at C2.Down
235318_at C2.Down
1557080_s_at C2.Down
243087_at C3.UP
237328_at C3.UP
227719_at C2.Down
230193_at C2.Down
227198_at C2.Down
1568606_at C3.UP
239733_at C3.UP
203304_at C2.Down
203889_at C2.Down
205549_at C2.Down
1555804_a_at C3.UP
1554190_s_at C3.UP
227870_at C2.Down
214043_at C2.Down
206089_at C2.Down
1556158_at C3.UP
231044_at C3.UP
227236_at C2.Down
228554_at C2.Down
237282_s_at C2.Down
243803_at C3.UP
220769_s_at C3.UP
222450_at C2.Down
236179_at C2.Down
232056_at C2.Down
241310_at C3.UP
239297_at C3.UP
232235_at C2.Down
239150_at C2.Down
237328_at C2.Down
226690_at C3.UP
231133_at C3.UP
203417_at C2.Down
229331_at C2.Down
242517_at C2.Down
223838_at C3.UP
239098_at C3.UP
238617_at C2.Down
218332_at C2.Down
39549_at C2.Down
226424_at C3.UP
222890_at C3.UP
236085_at C2.Down
223609_at C2.Down
228407_at C2.Down
225516_at C3.UP
229170_s_at C3.UP
227059_at C2.Down
229976_at C2.Down
37892_at C2.Down
223609_at C3.UP
206022_at C3.UP
226884_at C2.Down
209758_s_at C2.Down
224396_s_at C2.Down
231728_at C3.UP
244297_at C3.UP
201787_at C2.Down
239443_at C2.Down
241535_at C2.Down
209560_s_at C3.UP
243115_at C3.UP
227048_at C2.Down
229271_x_at C2.Down
209560_s_at C2.Down
236098_at C3.UP
219182_at C3.UP
209505_at C2.Down
219655_at C2.Down
206001_at C2.Down
231729_s_at C3.UP
1557636_a_at C3.UP
236915_at C2.Down
238512_at C2.Down
229823_at C2.Down
238878_at C3.UP
227867_at C3.UP
229542_at C2.Down
233157_x_at C2.Down
242162_at C2.Down
208140_s_at C3.UP
238864_at C3.UP
204915_s_at C2.Down
220390_at C2.Down
202768_at C2.Down
223924_at C3.UP
214204_at C3.UP
206721_at C2.Down
1552326_a_at C2.Down
236523_at C2.Down
240857_at C3.UP
239477_at C3.UP
206197_at C2.Down
239916_at C2.Down
229012_at C2.Down
232745_x_at C3.UP
