Probe.ID Entrez.ID
204891_s_at 3932
204686_at 3667
214079_at 10202
240161_s_at 166979
209138_x_at 3535
216542_x_at 3493
226065_at 144165
231084_at 80217
235892_at ---
207238_s_at 5788
211635_x_at 28461
227971_at 203447
230763_at 128153
242162_at 164781
204279_at 5698
206641_at 608
209227_at ---
214204_at 135138
229376_at ---
216401_x_at 652745
203936_s_at 4318
214761_at 23090
232327_at 80731
206378_at 4250
234366_x_at 3535
207651_at 29909
225728_at 8470
238116_at 83657
204260_at 1114
229391_s_at 441168
236280_at ---
226677_at 25925
206799_at 10647
229160_at 139221
214836_x_at 28299
236293_at 399
213316_at 57608
223475_at 83690
220988_s_at 114899
218002_s_at 9547
206935_at 5100
231472_at 201456
228740_at ---
207414_s_at 5046
1558411_at 93556
213338_at 25907
242094_at 3690
204749_at 4675
229084_at 152330
235650_at 222256
228656_at 5629
59437_at 138162
218980_at 80206
218876_at 51673
238852_at 5396
229973_at 127254
1553734_at 122481
231842_at 57608
244455_at 343450
212670_at 2006
213432_at 4587
205765_at 1577
226676_at 25925
235182_at 140862
214927_at 9358
239150_at 132203
219857_at 79949
235355_at ---
210764_s_at 3491
1555804_a_at 80122
229331_at 132671
240288_at 283518
232453_at 10082
214811_at 23504
226690_at 117
243802_at 201625
228100_at 128344
229178_at 145786
225275_at 10085
230418_s_at 57452
230193_at 144406
235658_at ---
233090_at 10082
208025_s_at 8091
230964_at 341640
230601_s_at 90506
209173_at 10551
238441_at ---
214204_at 135138
226612_at 134111
239916_at 146845
229976_at 254956
205150_s_at 9865
1558170_at ---
240253_at ---
1556003_a_at ---
238657_at 127733
227812_at 55504
1553655_at 166979
204802_at 6236
237281_at 158798
216663_s_at 51364
235392_at 3667
219197_s_at 57758
229273_at 6299
231084_at 80217
221946_at 138162
222288_at 151987
232090_at 26052
206893_at 6299
229542_at 128602
232968_at 92565
204288_s_at 8470
242064_at 54549
236373_at ---
1556711_at 144809
232109_at 127733
224763_at 6167
203184_at 2201
44783_s_at 23462
214811_at 23504
238720_at ---
201939_at 10769
223924_at 83538
231172_at 286207
239216_at 83659
243900_at 644529
231841_s_at 57608
201505_at 3912
213240_s_at 3851
231172_at 286207
233157_x_at 93233
235944_at 83872
238205_at 139170
235874_at 167681
240275_at 219681
224463_s_at 85016
227148_at 130271
220168_at 55259
205433_at 590
235650_at 222256
210323_at 27285
209598_at 10687
1556003_a_at ---
237281_at 158798
240065_at 153643
204548_at 6770
237491_at 4628
220156_at 79645
228018_at 128414
1562371_s_at 200403
232381_s_at 1767
227997_at 54756
217997_at 22822
1568606_at 399949
1552326_a_at 220136
1568604_a_at 8618
204914_s_at 6664
229649_at 9369
212489_at 1289
226034_at ---
203824_at 7103
229302_at 130733
204724_s_at 1299
225016_at 147495
238116_at 83657
222274_at 150244
204557_s_at 22873
223838_at 80705
220636_at 64446
204014_at 1846
206197_at 8382
227209_at 1272
209869_at 150
226034_at ---
229816_at 79819
64900_at 23563
219764_at 11211
206227_at 8483
212488_at 1289
236373_at ---
227708_at 1915
228915_at 1602
243802_at 201625
230093_at 89765
230093_at 89765
206859_s_at 5047
202363_at 6695
225842_at 22822
213707_s_at 1749
237282_s_at 158798
231077_at 257177
204913_s_at 6664
240161_s_at 166979
225516_at 6542
238018_at 285016
236745_at 124093
224463_s_at 85016
237168_at ---
228598_at 57628
237168_at ---
243610_at 138255
219463_at 24141
229973_at 127254
204320_at 1301
232984_at 54768
210683_at 4902
206002_at 10149
235318_at 2200
1557080_s_at 9358
243087_at 126820
237328_at ---
227719_at ---
230193_at 144406
227198_at 3899
1568606_at 399949
239733_at 84332
203304_at 25805
203889_at 6447
205549_at 5121
1555804_a_at 80122
1554190_s_at 79949
227870_at 57722
214043_at 5789
206089_at 4745
1556158_at 283726
231044_at 127003
227236_at 10100
228554_at ---
237282_s_at 158798
243803_at 643037
220769_s_at 79819
222450_at 56937
236179_at ---
232056_at 8796
241310_at ---
239297_at ---
232235_at 92126
239150_at 132203
237328_at ---
226690_at 117
231133_at 92749
203417_at 4237
229331_at 132671
242517_at 84634
223838_at 80705
239098_at 283518
238617_at ---
218332_at 55859
39549_at 4862
226424_at 828
222890_at 29070
236085_at 133690
223609_at 83853
228407_at 222663
225516_at 6542
229170_s_at 118491
227059_at 10082
229976_at 254956
37892_at 1301
223609_at 83853
206022_at 4693
226884_at 57633
209758_s_at 8076
224396_s_at 54829
231728_at 828
244297_at 253650
201787_at 2192
239443_at 56130
241535_at ---
209560_s_at 8788
243115_at 3690
227048_at 284217
229271_x_at ---
209560_s_at 8788
236098_at 9400
219182_at 23563
209505_at 7025
219655_at 79783
206001_at 4852
231729_s_at 828
1557636_a_at 136288
236915_at ---
238512_at 54879
229823_at ---
238878_at 170302
227867_at 129293
229542_at 128602
233157_x_at 93233
242162_at 164781
208140_s_at 83450
238864_at 146177
204915_s_at 6664
220390_at 79841
202768_at 2354
223924_at 83538
214204_at 135138
206721_at 57821
1552326_a_at 220136
236523_at 285556
240857_at 1770
239477_at 151651
206197_at 8382
239916_at 146845
229012_at 84688
232745_x_at 79925
209242_at 5178
215028_at 57556
240065_at 153643
201150_s_at 7078
224355_s_at 83661
220102_at 668
205471_s_at 1602
239216_at 83659
204014_at 1846
230600_at 90506
238327_at 440836
229613_at ---
243087_at 126820
202036_s_at 6422
220636_at 64446
218980_at 80206
238116_at 83657
239178_at ---
203296_s_at 477
238682_at 257236
232777_s_at 168090
212915_at 23024
240275_at 219681
213909_at 131578
220269_at 79740
239884_at ---
205472_s_at 1602
212713_at 4239
210319_x_at 4488
1553655_at 166979
236915_at ---
228100_at 128344
218976_at 56521
213791_at 5179
204015_s_at 1846
222108_at 347902
229831_at 5067
205713_s_at 1311
205728_at ---
229012_at 84688
237400_at 27109
219115_s_at 53832
209866_s_at 23284
229151_at 6563
220156_at 79645
39549_at 4862
226269_at 54332
210170_at 27295
202766_s_at 2200
236320_at 149483
207813_s_at 2232
213492_at 1280
1556711_at 144809
204260_at 1114
219115_s_at 53832
227662_at 171024
231084_at 80217
205907_s_at 4958
1553602_at 118430
229169_at 118491
229160_at 139221
219837_s_at 54360
233249_at 647180
205856_at 6563
214222_at 56171
223786_at 4166
212850_s_at 4038
208399_s_at 1908
213432_at 4587
1555007_s_at 144406
236666_s_at ---
232984_at 54768
222890_at 29070
206439_at 1833
228241_at 155465
234936_s_at 57545
213992_at 1288
203325_s_at 1289
206228_at 5076
220125_at 27019
238824_at ---
229170_s_at 118491
242127_at 163702
203295_s_at 477
220390_at 79841
204664_at 250
219179_at 51339
206377_at 2295
205422_s_at 9358
220623_s_at 80705
205862_at 9687
213765_at 8076
226424_at 828
1554242_a_at 1690
218876_at 51673
209469_at 2823
214023_x_at 347733
219525_at 55244
223121_s_at 6423
203908_at 8671
205714_s_at 51364
205862_at 9687
231729_s_at 828
236320_at 149483
223962_at 83894
214234_s_at 1577
221911_at 2115
243140_at 59
231384_at ---
219873_at 78989
219230_at 55273
213764_s_at 8076
204803_s_at 6236
205278_at 2571
236407_at 3753
236587_at ---
238018_at 285016
214587_at 1295
206201_s_at 4223
241365_at ---
241198_s_at 85016
220269_at 79740
227070_at 83468
213790_at ---
240161_s_at 166979
213436_at 1268
1555112_a_at 57821
230601_s_at 90506
222108_at 347902
232327_at 80731
215856_at 284266
202965_s_at 827
231728_at 828
222938_x_at 5169
220173_at 80127
237206_at 93649
206404_at 2254
206070_s_at 2042
213920_at 23316
239776_at 642987
229975_at ---
205347_s_at 11013
204589_at 9891
219987_at 79584
210168_at 729
220308_at 25790
229782_at 196475
225667_s_at ---
209309_at 563
232166_at 57562
204803_s_at 6236
239349_at 114905
228017_s_at 128414
217428_s_at 1300
222068_s_at 123872
224370_s_at 84698
238877_at ---
226930_at 84624
223278_at 2706
228554_at ---
205579_at 3269
217404_s_at 1280
232805_at 1301
205941_s_at 1300
236710_at 127795
212560_at 442871
1567101_at 1602
204712_at 11197
219857_at 79949
1552594_at 147744
230695_s_at 221421
225782_at 253827
232203_at ---
219087_at 54829
205896_at 6583
204802_at 6236
222325_at 196475
1556158_at 283726
205229_s_at 1690
236085_at 133690
219151_s_at 11158
241310_at ---
222484_s_at 9547
229349_at 389421
235956_at 57562
213462_at 4862
230081_at 345557
225996_at 164832
210534_s_at 27077
1553971_a_at 352954
238532_at 8110
224763_at 6167
209068_at 9987
240633_at 285489
205906_at 2302
206805_at 10371
230178_s_at ---
227148_at 130271
223178_s_at 221294
222764_at 80150
213488_at 25992
219508_at 9245
213745_at 26033
216733_s_at 2628
214945_at 202134
219542_at 79858
222829_s_at 53832
227971_at 203447
240120_at 8470
225726_s_at 57475
221614_s_at 9501
223734_at 84709
226185_at 1040
225835_at 6558
230936_at 374407
228195_at 84281
237131_at 645469
232336_at 57643
212427_at 23392
229810_at ---
203939_at 4907
219331_s_at 55220
203323_at 858
40016_g_at 23227
205193_at 23764
213451_x_at 7148
225102_at 11343
39548_at 4862
225611_at ---
211478_s_at 1803
210103_s_at 3170
220389_at 60494
205406_s_at 53340
210230_at ---
219580_s_at 79838
224916_at 340061
213385_at 1124
227306_at ---
36711_at 23764
1560679_at 151438
225725_at ---
213386_at 56254
214774_x_at 27324
223721_s_at 56521
218437_s_at 54585
225619_at 122060
204931_at 6943
226872_at 5990
228400_at ---
219469_at 79659
216333_x_at 7148
227081_at 7802
222943_at 57733
204872_at 7091
243154_at ---
226419_s_at 645460
224458_at 84302
203074_at 244
231964_at ---
209921_at 23657
206191_at 956
207414_s_at 5046
220084_at 55195
227775_at 60677
239848_at 493860
242162_at 164781
214079_at 10202
1558077_s_at 130752
219583_s_at 55812
201474_s_at 3675
219954_s_at 57733
233516_s_at 200162
219093_at 55022
204697_s_at 1113
223535_at 83594
225065_x_at 125144
213802_at 8492
225698_at 114915
230109_at 27115
213479_at 4885
212157_at 6383
204301_at 9920
239500_at 79645
205328_at 9071
229544_at ---
227889_at 54947
243395_at 1604
221933_at 57502
209627_s_at 26031
239576_at 57509
210026_s_at 29775
203509_at 6653
227134_at 84958
1555950_a_at 1604
227828_s_at 84141
228728_at 79974
204577_s_at 23059
215108_x_at 27324
214175_x_at 8572
202599_s_at 8204
205668_at 4065
230707_at 6653
203029_s_at 5799
212865_s_at 7373
244163_at 10371
204359_at 23768
236222_at 89876
232357_at 164395
244655_at 644192
230083_at ---
209506_s_at 7025
236717_at 165186
236909_at 129881
205266_at 3976
230454_at 130026
204085_s_at 1203
225728_at 8470
228905_at ---
202478_at 28951
228109_at 5924
217678_at 23657
1554140_at 79819
204041_at 4129
215983_s_at 7993
228844_at 284111
227805_at ---
228665_at 116159
225191_at 1153
231319_x_at 64147
212909_at 116372
224929_at 340061
240253_at ---
220184_at 79923
205891_at 136
241390_at ---
205459_s_at 4862
213425_at 7474
230142_s_at 1153
237737_at 401131
231181_at ---
205997_at 10863
200810_s_at 1153
203881_s_at 1756
226833_at 124637
238992_at ---
228469_at 5481
230033_at 352909
229849_at ---
239066_at ---
207802_at 10321
208712_at 595
228750_at 7373
236918_s_at 151827
229317_at ---
243362_s_at 641518
238512_at 54879
1563830_a_at 114827
1552910_at 114132
205016_at 7039
229150_at 79083
205139_s_at 10090
209447_at 23345
238721_at 130752
235471_at 196740
203717_at 1803
213519_s_at 3908
225220_at 677809
227051_at ---
219686_at 55351
219338_s_at 54839
1552349_a_at 260429
211026_s_at 11343
211564_s_at 8572
207981_s_at 2104
227917_at ---
231775_at 8797
209529_at 8612
219455_at 79846
214889_at 25854
204542_at 10610
1554147_s_at 89876
1568603_at 8618
205517_at 2626
231013_at ---
229529_at 6943
232944_at 79875
207624_s_at 6103
203178_at 2628
208760_at 7329
1552348_at 260429
206483_at 23639
204591_at 10752
1557689_at 4862
238205_at 139170
1556764_s_at 5144
244534_at 9512
240331_at 658
205567_at 8534
238049_at 65983
212096_s_at 57509
210136_at 4155
229050_s_at 84973
233123_at 30061
207797_s_at 55805
227210_at ---
228067_at 343990
233249_at 647180
229757_at 92345
220591_s_at 80258
229085_at 116135
227145_at 84171
233950_at 8618
225407_at 4155
219415_at 57348
230903_s_at 157695
224553_s_at 8784
229151_at 6563
204990_s_at 3691
212912_at 6196
1563963_at ---
202833_s_at 5265
229339_at ---
239723_at 30061
228528_at ---
223282_at 10194
244387_at ---
206076_at 10233
1554528_at 89876
209114_at 10103
203407_at 5493
201941_at 1362
200811_at 1153
205680_at 4319
235309_at ---
242086_at 54558
216840_s_at 3908
227359_at 127700
1554919_s_at 79846
229222_at 79611
218857_s_at 80150
204470_at 2919
225299_at 4645
1557690_x_at 4862
243023_at ---
1556364_at ---
